%time,field.pose.pose.position.x,field.pose.pose.position.y
14846000000,-2.071059847749343e-05,8.580633977643433e-06
14877000000,-2.0713814725356952e-05,8.599565027041106e-06
14911000000,-2.071712844939691e-05,8.619069788455244e-06
14944000000,-2.072034472467687e-05,8.6380009229972e-06
14977000000,-2.072356101346252e-05,8.656932099469233e-06
15011000000,-2.072687477966146e-05,8.676436991809867e-06
15044000000,-2.073009109586008e-05,8.695368253443683e-06
15077000000,-2.0733307425555708e-05,8.714299556990858e-06
15111000000,-2.07366212339119e-05,8.73380458025147e-06
15144000000,-2.073983759101877e-05,8.752735968922792e-06
15177000000,-2.0743053961629582e-05,8.771667399519318e-06
15211000000,-2.0746367812140423e-05,8.79117255369576e-06
15244000000,-2.074958421016595e-05,8.810104069438424e-06
15277000000,-2.075280062169716e-05,8.829035627125009e-06
15311000000,-2.0756114514364384e-05,8.848540912220696e-06
15344000000,-2.075933095330683e-05,8.867472555025369e-06
15377000000,-2.076254740575149e-05,8.886404239765653e-06
15411000000,-2.07658613405751e-05,8.905909655788925e-06
15444000000,-2.0769077820431865e-05,8.924841425657112e-06
15477000000,-2.077229431379779e-05,8.943773237464537e-06
15511000000,-2.077560829078038e-05,8.963278784406112e-06
15544000000,-2.0778824811555803e-05,8.982210681357662e-06
15577000000,-2.078204134583605e-05,9.00114262024945e-06
15611000000,-2.078535536497849e-05,9.02064829811631e-06
15644000000,-2.078857192667604e-05,9.039580322140402e-06
15677000000,-2.0791788501874943e-05,9.058512388096494e-06
15711000000,-2.0795102563178104e-05,9.07801819689697e-06
15744000000,-2.079831916579171e-05,9.096950347992532e-06
15777000000,-2.080153578191187e-05,9.11588254103534e-06
15811000000,-2.0804849885374017e-05,9.135388480749966e-06
15844000000,-2.080806652890801e-05,9.154320758917268e-06
15877000000,-2.08112831859477e-05,9.17325307901855e-06
15911000000,-2.0814597331570567e-05,9.192759149656524e-06
15944000000,-2.0817814016029293e-05,9.211691554911244e-06
15977000000,-2.082103071398937e-05,9.230624002079273e-06
16011000000,-2.0824344901764283e-05,9.250130203629824e-06
16044000000,-2.0827561627141663e-05,9.26906273594782e-06
16077000000,-2.0830778366022137e-05,9.2879953102115e-06
16111000000,-2.083409259596557e-05,9.30750164271561e-06
16144000000,-2.083730936226335e-05,9.326434302122648e-06
16177000000,-2.084052614206855e-05,9.345367003452308e-06
16211000000,-2.084384041416837e-05,9.364873466858569e-06
16244000000,-2.084705722138914e-05,9.38380625333512e-06
16277000000,-2.085027404211473e-05,9.402739081752568e-06
16311000000,-2.0853588356383075e-05,9.422245676100654e-06
16344000000,-2.085680520453031e-05,9.44117858967522e-06
16377000000,-2.0860022066182364e-05,9.460111545173628e-06
16411000000,-2.0863336422612296e-05,9.479618270462091e-06
16444000000,-2.086655331168079e-05,9.49855131110534e-06
16477000000,-2.0869770214249767e-05,9.517484393681669e-06
16511000000,-2.0873084612841285e-05,9.536991249891535e-06
16544000000,-2.0876301542834503e-05,9.555924417609547e-06
16577000000,-2.0879518486331683e-05,9.574857627274384e-06
16611000000,-2.088283292709086e-05,9.59436461441566e-06
16644000000,-2.088604989800187e-05,9.61329790920374e-06
16677000000,-2.0889266882424644e-05,9.632231245944814e-06
16711000000,-2.0892581365345407e-05,9.65173836402589e-06
16744000000,-2.0895798377184617e-05,9.67067178589671e-06
16777000000,-2.0899015402526915e-05,9.689605249704562e-06
16811000000,-2.0902329927615336e-05,9.709112498710014e-06
16844000000,-2.0905546980379275e-05,9.728046047673604e-06
16877000000,-2.0908764046648903e-05,9.746979638580168e-06
16911000000,-2.0912078613898044e-05,9.766487018515728e-06
16944000000,-2.091529570759018e-05,9.78542069456289e-06
16977000000,-2.091851281478454e-05,9.804354412539726e-06
17011000000,-2.092182742420394e-05,9.823861923427634e-06
17044000000,-2.0925044558818204e-05,9.842795726554016e-06
17077000000,-2.092826170694249e-05,9.861729571615468e-06
17111000000,-2.093157635853129e-05,9.881237213447995e-06
17144000000,-2.0934793534076356e-05,9.900171143672512e-06
17177000000,-2.093801072312971e-05,9.919105115844829e-06
17211000000,-2.094132541688356e-05,9.93861288860144e-06
17244000000,-2.094454263336116e-05,9.957546945941864e-06
17277000000,-2.094775986334358e-05,9.97648104520805e-06
17311000000,-2.0951074599270293e-05,9.995988948914447e-06
17344000000,-2.095429185667436e-05,1.0014923133326636e-05
17377000000,-2.095750912758064e-05,1.003385735967966e-05
17411000000,-2.096082390567241e-05,1.005336539432787e-05
17444000000,-2.0964041204002932e-05,1.0072299705836e-05
17477000000,-2.0967258515840886e-05,1.0091234059268776e-05
17511000000,-2.097057333610465e-05,1.0110742224852256e-05
17544000000,-2.0973790675367712e-05,1.0129676663448402e-05
17577000000,-2.097700802813733e-05,1.014861114399188e-05
17611000000,-2.0980322890572223e-05,1.0168119440534228e-05
17644000000,-2.0983540270763483e-05,1.0187054006211334e-05
17677000000,-2.0986757664459565e-05,1.0205988613819636e-05
17711000000,-2.099007256906038e-05,1.0225497041291796e-05
17744000000,-2.099328999017984e-05,1.0244431734067065e-05
17777000000,-2.0996507424808457e-05,1.026336646877355e-05
17811000000,-2.0999822371581267e-05,1.0282875027181414e-05
17844000000,-2.1003039833632397e-05,1.030180984704563e-05
17877000000,-2.1006257309193543e-05,1.0320744708874892e-05
17911000000,-2.100957229814356e-05,1.0340253398267634e-05
17944000000,-2.1012789801128952e-05,1.035918834522944e-05
17977000000,-2.101600731762524e-05,1.0378123334141366e-05
18011000000,-2.101932234874638e-05,1.0397632154468646e-05
18044000000,-2.102253989266431e-05,1.0416567228542304e-05
18077000000,-2.1025757450087064e-05,1.0435502344536314e-05
18111000000,-2.1029072523376727e-05,1.0455011295788377e-05
18144000000,-2.1032290108227197e-05,1.0473946496952323e-05
18177000000,-2.1035507706588557e-05,1.0492881740065272e-05
18211000000,-2.1038822822055412e-05,1.0512390822286675e-05
18244000000,-2.1042040447840152e-05,1.0531326150551924e-05
18277000000,-2.1045258087134915e-05,1.055026152075776e-05
18311000000,-2.104857324477377e-05,1.0569770733918712e-05
18344000000,-2.1051790911490176e-05,1.0588706189286396e-05
18377000000,-2.1055008591717477e-05,1.060764168659711e-05
18411000000,-2.10583237915344e-05,1.0627151030721864e-05
18444000000,-2.1061541499187677e-05,1.0646086613178709e-05
18477000000,-2.106475922034924e-05,1.0665022237581424e-05
18511000000,-2.106807446234076e-05,1.0684531712661112e-05
18544000000,-2.1071292210930043e-05,1.0703467422233811e-05
18577000000,-2.107450997301894e-05,1.0722403173718788e-05
18611000000,-2.107782525718853e-05,1.0741912779752945e-05
18644000000,-2.108104304671208e-05,1.07608486164188e-05
18677000000,-2.1084260849745656e-05,1.077978449503782e-05
18711000000,-2.1087576176092443e-05,1.0799294232017283e-05
18744000000,-2.10907940065494e-05,1.08182301957728e-05
18777000000,-2.1094011850517243e-05,1.0837166201473816e-05
18811000000,-2.109732721903516e-05,1.0856676069402947e-05
18844000000,-2.1100545090428985e-05,1.0875612160259077e-05
18877000000,-2.1103762975334568e-05,1.089454829306985e-05
18911000000,-2.110707838603315e-05,1.0914058291945304e-05
18944000000,-2.111029629836298e-05,1.0932994509895729e-05
18977000000,-2.111351422420457e-05,1.095193076981728e-05
19011000000,-2.1116829677080357e-05,1.097144089965789e-05
19044000000,-2.1120047630346188e-05,1.0990377244716353e-05
19077000000,-2.112326559712292e-05,1.100931363172375e-05
19111000000,-2.1126581092177632e-05,1.1028823892515906e-05
19144000000,-2.1129799086384675e-05,1.1047760364688668e-05
19177000000,-2.1133017094101744e-05,1.1066696878805523e-05
19211000000,-2.1136332631338e-05,1.1086207270574797e-05
19244000000,-2.113955066648885e-05,1.110514386988077e-05
19277000000,-2.114276871515233e-05,1.1124080511129282e-05
19311000000,-2.1146084294563185e-05,1.1143591033842068e-05
19344000000,-2.114930237065177e-05,1.116252776023018e-05
19377000000,-2.1152520460249527e-05,1.1181464528577303e-05
19411000000,-2.115583608184712e-05,1.1200975182269593e-05
19444000000,-2.115905419887432e-05,1.1219912035764755e-05
19477000000,-2.1162272329409808e-05,1.1238848931203444e-05
19511000000,-2.116558799318373e-05,1.1258359715836177e-05
19544000000,-2.1168806151150403e-05,1.1277296696447317e-05
19577000000,-2.1172024322627103e-05,1.129623371900682e-05
19611000000,-2.1175340028587765e-05,1.1315744634632918e-05
19644000000,-2.1178558227499984e-05,1.133468174237094e-05
19677000000,-2.1181776439919628e-05,1.1353618892047368e-05
19711000000,-2.1185092188059224e-05,1.13731299386068e-05
19744000000,-2.118831042791352e-05,1.1392067173432222e-05
19777000000,-2.119152868127784e-05,1.1411004450225576e-05
19811000000,-2.119484447160157e-05,1.1430515627757242e-05
19844000000,-2.119806275239621e-05,1.1449452989722162e-05
19877000000,-2.1201281046697405e-05,1.1468390393613549e-05
19911000000,-2.120459687920441e-05,1.1487901702116293e-05
19944000000,-2.1207815200943725e-05,1.1506839191207725e-05
19977000000,-2.12110335361922e-05,1.1525776722224614e-05
20011000000,-2.121434941088768e-05,1.154528816170877e-05
20044000000,-2.1217567773569937e-05,1.1564225777902924e-05
20077000000,-2.122078614976309e-05,1.158316343605062e-05
20111000000,-2.1224102066640105e-05,1.160267500649319e-05
20144000000,-2.122732047026444e-05,1.1621612749791673e-05
20177000000,-2.1230538887404005e-05,1.1640550535053872e-05
20211000000,-2.1233854846468628e-05,1.16600622364637e-05
20244000000,-2.123707329103417e-05,1.1679000106869948e-05
20277000000,-2.124029174911668e-05,1.1697938019228269e-05
20311000000,-2.124360775036891e-05,1.1717449851629558e-05
20344000000,-2.12468262358826e-05,1.1736387849176995e-05
20377000000,-2.1250044734913255e-05,1.1755325888677348e-05
20411000000,-2.1253360778343555e-05,1.1774837852014816e-05
20444000000,-2.1256579304808e-05,1.1793775976684884e-05
20477000000,-2.125979784478073e-05,1.1812714143296588e-05
20511000000,-2.1263113930400368e-05,1.1832226237608948e-05
20544000000,-2.1266332497811225e-05,1.1851164489406818e-05
20577000000,-2.126955107873297e-05,1.187010278314342e-05
20611000000,-2.127286720654369e-05,1.1889615008430146e-05
20644000000,-2.1276085814897483e-05,1.1908553387339128e-05
20677000000,-2.127930443676998e-05,1.192749180818901e-05
